FACIL,REC$TYPE,PROVINCE,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
277,A,54,5,4,Urban,No,2490967,Health Center,Private/NGO,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,Yes,No,No,Yes,No,Yes,.636363636363636,0,5,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No, ,No,7,9,0, , 
278,A,54,Health centre,4,9,9,0,Hospital,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
279,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,No,No,Yes,Yes,No,No, ,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No, , , , ,No,No,No,Yes,Yes,No, ,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,1,5,0, , 
280,A,92,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,Yes,Yes,.272727272727273,20,0,1,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No, ,Yes,52,36,0,122,122
281,A,92,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No, ,No,No,.545454545454545,12,3,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,25,28,1,181,181
282,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes, ,No,No,No,No,No,No,No,No,No,.272727272727273,2,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,No, ,9,0, , 
283,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No, ,Yes,No,.363636363636364,9,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,15,16,0,51,51
284,A,92,Health hut,Government/public,Rural,No,466473,Health Center,Public,No,No,No,Yes,Yes,Yes,No,No, ,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes, , ,No,No,No,No,No, ,Yes,No, ,5,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,7,12,0,60,60
285,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No, , ,No,No,No,No,No,Yes,No,No,.181818181818182,2,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,2,6,0, , 
286,A,92,Health centre,Government/public,Urban,No,116618,Hospital,Public,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,Yes,No,No,No, ,Yes,Yes,.545454545454545,37,4,3,0,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,40,66,0,74,74
287,A,92,5,4,Rural,No,2103989,Health Center,Private/NGO,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No, , ,No,No,No,No,No,No,No,No,.272727272727273,3,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No, ,4,0, , 
288,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,No,No,Yes,Yes,No,No, ,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,Yes,No, ,29,1,3,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,75,49,1,287,287
289,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No,Yes,Yes,No,.272727272727273,4,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,7,9,0, , 
290,A,92,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,No,No,Yes,Yes,No,No, ,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No, ,Yes, , ,36,1,1,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,No, ,Yes,24,90,1,113,113
291,A,92,5,Government/public,Urban,No,2103989,Health Center,Public,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , ,No,No,No,No,No,No,Yes,No,.181818181818182,5,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No, ,9,0, , 
292,A,92,Health centre,Government/public,Rural,No,233237,Hospital,Public,No,No, ,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,Yes,No,.454545454545455,17,1,0,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No, ,Yes,30,36,0,65,65
293,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No,.181818181818182,3,1,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,4,5,0, , 
294,A,92,Health centre,4,Rural,Yes,116618,Hospital,Private/NGO,No,No, ,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.363636363636364,15,1,2,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,82,31,0,891,891
295,A,92,5,Private for profit,Urban,No,2103989,Health Center,Private/NGO,No,No,No,Yes,Yes,Yes,No,No, ,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No,Yes,Yes,No, ,8,1,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,6,10,1, , 
296,A,92,Health centre,Government/public,Urban,No,116618,Hospital,Public,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,Yes,No,.363636363636364,18,4,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,62,36,0,28,28
297,A,92,Health centre,Private for profit,Urban,No,291546,Hospital,Private/NGO,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No, ,Yes, ,.181818181818182,15,3,3,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,36,29,0,78,78
298,A,92,Health hut,4,Urban,No,466473,Health Center,Private/NGO,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.272727272727273,12,0,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,14,17,0,57,57
299,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,Yes,No,No,No,No,No,.181818181818182,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No, ,No, ,6,0, , 
300,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,Yes,No,Yes,Yes,Yes,Yes, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,Yes,Yes, ,19,4,2,0,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,54,42,0,400,400
301,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,No,Yes,No,.363636363636364,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No, ,7,0, , 
302,A,92,Health hut,4,Rural,No,466473,Health Center,Private/NGO,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.454545454545455,8,1,1,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,4,17,0,61,61
303,A,92,Health post,4,Urban,No,291546,Hospital,Private/NGO,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes, ,No,Yes,Yes,No,No,No, ,No,No,.363636363636364,6,1,1,0,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,Yes,No, ,Yes,55,21,0,25,25
304,A,92,Health hut,4,Urban,No,116618,Health Center,Private/NGO,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.636363636363636,8,3,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,14,18,2,50,50
305,A,92,Health centre,4,Rural,No,233237,Hospital,Private/NGO,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,No, ,No,No,.181818181818182,11,4,2,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,No, ,Yes,37,28,0,105,105
306,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,Yes,No,No,Yes,No,Yes, ,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,No,.272727272727273,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,1,5,0, , 
307,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes, , , , ,No,No,No,Yes,Yes,No,.181818181818182,2,1,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,1,5,0, , 
308,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO, ,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,Yes,Yes,No,No, ,No,No, ,12,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,No, ,Yes,22,27,0,135,135
309,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,Yes, ,No,No,Yes,No,No, ,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , ,No,No,No,No,No,No,Yes,No, ,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No, ,9,0, , 
310,A,92,Health hut,4,Rural,No,466473,Health Center,Private/NGO,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,No,.454545454545455,2,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No, ,Yes,2,8,0,59,59
311,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,No,No,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,Yes, ,15,0,1,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,26,0,134,134
312,A,92,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No, ,No,No,.454545454545455,44,3,4,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,68,88,1,342,342
313,A,92,5,4,Urban,No,2103989,Health Center,Private/NGO,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes, ,No,No,No,No,No,Yes,Yes,No,No,.0909090909090909,7,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,No,5,12,0, , 
314,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,Yes,No,Yes,Yes, ,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,No,.181818181818182,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,2,6,0, , 
315,A,92,Health centre,Government/public,Urban,No,233237,Hospital,Public,No,No,Yes,Yes,Yes,Yes,No,No, ,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes, , ,31,4,4,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,75,58,0,135,135
316,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,No,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,Yes, ,Yes,No, ,28,0,3,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,63,44,0,251,251
317,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No,Yes,Yes,No,.454545454545455,4,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,2,7,0, , 
318,A,92,Health hut,4,Rural,No,466473,Health Center,Private/NGO,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No,.272727272727273,5,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,12,10,1,13,13
319,A,92,5,4,Rural,No,2103989,Health Center,Private/NGO,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.272727272727273,6,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,30,10,0,46,46
320,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes,No,.636363636363636,25,2,4,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,80,53,1,99,99
321,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No,No,No,No,.363636363636364,2,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No, ,6,0, , 
322,A,92,Health centre,4,Rural,No,233237,Hospital,Private/NGO,No,No,No,No,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes, ,Yes, , ,12,2,1,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,76,23,1,133,133
323,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No,Yes,Yes,No,.363636363636364,2,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,5,8,0, , 
324,A,92,Health hut,Government/public,Rural,No,466473,Health Center,Public,No,Yes, ,No,Yes,Yes,No,No, ,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,No, ,4,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,9,9,0,21,21
325,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No, ,.181818181818182,19,2,2,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,70,37,1,255,255
326,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,No,No,No,Yes,Yes,No, ,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No,No,Yes,No, ,2,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,9,0, , 
327,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,No, ,Yes,No,.272727272727273,16,0,2,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,50,35,1,94,94
328,A,92,Health centre,Government/public,Urban,No,116618,Hospital,Public,No,No,No,No,No,Yes,No,Yes, ,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No, ,No,No, ,38,2,4,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,21,62,0,94,94
329,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,No,No,Yes,No,No,Yes,Yes,No,.272727272727273,5,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,1,8,0, , 
330,A,92,Health centre,Government/public,Rural,No,233237,Hospital,Public,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,Yes,.272727272727273,29,0,3,0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,No,Yes,65,60,0,285,285
331,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,Yes,No,No,No, ,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,No,.181818181818182,3,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,1,7,0, , 
332,A,92,Health hut,Government/public,Urban,No,466473,Health Center,Public,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No,.181818181818182,7,4,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,9,20,0,40,40
333,A,92,Health centre,4,Rural,No,233237,Hospital,Private/NGO,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,No,.727272727272727,62,8,13,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No, ,Yes,137,135,0,155,155
334,A,92,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes, ,Yes,No,.454545454545455,17,3,3,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,70,41,0,326,326
335,A,92,5,4,Rural,No,2103989,Health Center,Private/NGO,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No, ,Yes,No,.454545454545455,3,0,1,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No, ,Yes,3,7,0,8,8
336,A,92,5,Government/public,Rural,No,2103989,Health Center,Public,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No, ,No,No,No,No,No,No,Yes,Yes,No,0,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,1,7,0, , 
