FACIL,REC$TYPE,REGION,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,normdelivery,TBservice,NCDService,diagnostic,bloodtyping,transfusion,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
10377,A,Chittagong,Privtate Hospital (with >20 beds),Private for Profit,Urban,No,610906,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.727272727272727,6,11,0,1,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,22,33,10,50,50
10378,A,Chittagong,Upzila Health Complex (UHC),Government/Public (MOHFW),Urban,Yes,394902,Hospital,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,Yes, ,Yes,Yes,.454545454545455,0,19,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,42,63,0,486,486
10379,A,Chittagong,Privtate Hospital (with >20 beds),Private for Profit,Urban,No, ,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10380,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,Yes,1244335,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No, ,Yes,No,.727272727272727,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,0,2,0,5,5
10381,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,Yes,No,Yes,No,No,Yes,No,No,No, ,No,No,No,Yes,No,No,No,No,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes, , ,No, ,2,0, , 
10382,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,638510,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.727272727272727,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No, ,No, ,3,0, , 
10383,A,Chittagong,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,736553,Health Center/post,Public, ,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No, ,No, ,2,0, , 
10384,A,Chittagong,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,No,76929,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes, , , , ,Yes,No,No, ,No,No,.727272727272727,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,0,3,0,9998,9998
10385,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,1244335,Health Center/post,Public,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.363636363636364,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No, ,No, ,5,0, , 
10386,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,No,No,Yes,No,Yes,No,Yes,No,No, ,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,No,Yes,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes, , ,No, ,2,0, , 
10387,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,638510,Health Center/post,Public,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.636363636363636,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No, ,4,0, , 
10388,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,Yes,No,Yes,Yes,Yes,Yes,No,No,No, ,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes, , ,No, ,3,0, , 
10389,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,1244335,Health Center/post,Public,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,Yes,Yes,No,.363636363636364,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,0,2,0, , 
10390,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,No,Yes,No,.272727272727273,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No, ,No, ,3,0, , 
10391,A,Chittagong,Privtate Hospital (with >20 beds),Private for Profit,Urban,No,610906,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes, ,Yes,Yes,.636363636363636,5,20,0,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,40,41,0,338,338
10392,A,Chittagong,District Hospital (DH),Government/Public (MOHFW),Urban,No,76929,Hospital,Public,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.636363636363636,7,97,0,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,190,149,0,5038,5038
10393,A,Chittagong,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,No,76929,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,Yes,.636363636363636,0,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, ,Yes,0,5,0,243,243
10394,A,Chittagong,Upzila Health Complex (UHC),Government/Public (MOHFW),Rural,No,394902,Hospital,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes, ,No,No,No,Yes,No,Yes, ,Yes, ,.545454545454545,0,9,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No, ,Yes,50,18,0,395,395
10395,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,638510,Health Center/post,Public,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes, ,No,No,No,No,No,No,Yes,No,No,.363636363636364,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, ,No,0,4,0, , 
10396,A,Chittagong,NGO Clinic (other than Smiling Sun Clinics),NGO,Urban,No,705936,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , ,Yes,No,Yes,No,Yes, ,Yes,No,.454545454545455,0,0,0,0,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No, ,Yes,3,3,0,3,3
10397,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,No, ,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No, , ,No, ,3,0, , 
10398,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,1244335,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes, , , , ,No,No,No,No,No,No,.454545454545455,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No, ,No, ,1,0, , 
10399,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,Yes,Yes,Yes,No,.545454545454545,0,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, ,No,2,4,0, , 
10400,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,638510,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes, , , , ,Yes,No,Yes,Yes,Yes,Yes,.545454545454545,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No, ,No,2,3,0, , 
10401,A,Chittagong,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,736553,Health Center/post,Public,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,Yes,No,Yes,Yes,No,No,.363636363636364,0,3,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No, ,No,3,6,0, , 
10402,A,Chittagong,Upzila Health Complex (UHC),Government/Public (MOHFW),Urban,Yes,394902,Hospital,Public,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes, ,Yes,Yes,.363636363636364,0,4,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,35,31,0,462,462
10403,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,No,No,No,No,No,No,No,No,No, ,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No, , ,No, ,3,0, , 
10404,A,Chittagong,Privtate Hospital (with >20 beds),Private for Profit,Urban,Yes,610906,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No, ,Yes,Yes,.545454545454545,0,8,1,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10,24,6,88,88
10405,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,638510,Health Center/post,Public,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.818181818181818,0,0,0,0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No, ,8,0, , 
10406,A,Chittagong,District Hospital (DH),Government/Public (MOHFW),Urban,Yes,76929,Hospital,Public,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes, ,Yes,Yes,.727272727272727,5,72,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,244,103,0,3708,3708
10407,A,Chittagong,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,Yes,76929,Health Center/post,Public,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,No,No,No, ,Yes,Yes,.727272727272727,0,1,0,0,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No, ,Yes,0,3,0,109,109
10408,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,1244335,Health Center/post,Public,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes, , , , ,No,No,No,No,Yes,No,.181818181818182,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No, ,No, ,5,0, , 
10409,A,Chittagong,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,736553,Health Center/post,Public,No,No,Yes,No,Yes,Yes,No,No,No, ,No,No,No,No,No,No,No,No,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,1,0,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No, , ,No, ,2,0, , 
10410,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,Yes,No,Yes,No,No,Yes,No,No,No, ,No,No,No,No,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No, , ,No, ,2,0, , 
10411,A,Chittagong,Privtate Hospital (with >20 beds),Private for Profit,Urban,Yes,610906,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,Yes,Yes,.363636363636364,4,18,0,2,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,13,30,7,60,60
10412,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,Yes,638510,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No,.545454545454545,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No, ,No,1,4,0, , 
10413,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,638510,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes, , , , ,No,No,No,No,No,No,.454545454545455,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No, ,No, ,5,0, , 
10414,A,Chittagong,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,736553,Health Center/post,Public,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , ,No,No,No,No,No,No,No,No,.181818181818182,0,0,0,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,No, ,7,0, , 
10415,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,Yes,No,Yes,Yes,Yes,Yes,Yes, , , ,No,No,No,No,No,No,No,No, ,No, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No, , ,No, ,2,0, , 
10416,A,Chittagong,Upzila Health Complex (UHC),Government/Public (MOHFW),Rural,No,394902,Hospital,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,Yes, ,Yes,Yes,.545454545454545,0,11,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No, ,Yes,8,46,0,198,198
10417,A,Chittagong,District Hospital (DH),Government/Public (MOHFW),Urban,No,76929,Hospital,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.636363636363636,1,25,3,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,80,45,0,1018,1018
10418,A,Chittagong,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,No,76929,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No, , , , ,No,Yes,Yes, ,Yes,No,.545454545454545,0,2,0,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,0,6,0,48,48
10419,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.454545454545455,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No, ,No, ,3,0, , 
10420,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,638510,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No, ,Yes,No,.454545454545455,0,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No, ,Yes,0,1,0,11,11
10421,A,Chittagong,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,736553,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.272727272727273,0,0,1,0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No, ,No, ,2,0, , 
10422,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,1244335,Health Center/post,Public,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.272727272727273,0,0,0,0,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No, ,No, ,4,0, , 
10423,A,Chittagong,Upzila Health Complex (UHC),Government/Public (MOHFW),Rural,No,394902,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,Yes,.363636363636364,0,8,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6,27,0,154,154
10424,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,638510,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.272727272727273,0,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No, ,No, ,3,0, , 
10425,A,Chittagong,Upzila Health Complex (UHC),Government/Public (MOHFW),Rural,No,76929,Hospital,Public,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,Yes,No,Yes, ,Yes,Yes,.727272727272727,0,8,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No, ,Yes,43,20,0,1305,1305
10426,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,123217,Health Center/post,Public,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.454545454545455,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No, ,No, ,1,0, , 
10427,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,123217,Health Center/post,Public,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,No,No,Yes,No,No,No,No,Yes,.727272727272727,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No, ,No, ,2,0, , 
10428,A,Chittagong,Community Clinic,Government/Public (MOHFW),Rural,No,3928283,Health Center/post,Public,No,No,No,No,Yes,No,Yes,No,No, ,No,Yes,No,Yes,No,No,No,No,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes, , ,No, ,3,0, , 
10429,A,Chittagong,District Hospital (DH),Government/Public (MOHFW),Urban,No,76929,Hospital,Public,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes,Yes,.636363636363636,2,29,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,85,54,0,2089,2089
10430,A,Chittagong,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,No,76929,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,Yes,.818181818181818,0,3,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,0,6,0,68,68
10431,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,123217,Health Center/post,Public,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes, ,No, ,No,No,No,No,No,No,Yes,No,No,.272727272727273,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,No,0,2,0, , 
10432,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,123217,Health Center/post,Public,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,No,Yes,.454545454545455,0,0,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,No,0,1,0, , 
10433,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,123217,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,No,Yes,.272727272727273,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,No,0,2,0, , 
10434,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,123217,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,Yes,No,Yes,.181818181818182,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,No,0,2,0, , 
10435,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,123217,Health Center/post,Public,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,No,No,No,.454545454545455,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, ,No, ,1,0, , 
10436,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,123217,Health Center/post,Public,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.545454545454545,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No, ,No, ,3,0, , 
10437,A,Chittagong,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,123217,Health Center/post,Public,No,No,No,No,Yes,Yes,Yes, , , ,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes, , ,No, ,1,0, , 
10438,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,97909,Health Center/post,Public,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,No,Yes,No,.454545454545455,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No, ,No, ,3,0, , 
10439,A,Chittagong,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,97909,Health Center/post,Public,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,No,No,No,No,No,No,No,No,Yes,.818181818181818,0,0,0,0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No, ,2,0, , 
