FACIL,REC$TYPE,DEPART,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
279,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,No,.727272727272727,5,9,1,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No, ,25,5, , 
280,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,Yes,No, ,No,.545454545454545,3,5,2,5,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No, ,No, ,19,1, , 
281,A,Ouest,Health hut,NGO/ Private not for profit,Rural,No,996044,Hospital,Private/NGO,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,.818181818181818,4,9,2,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,No,11,21,3, , 
282,A,Ouest,5,4,Rural,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,Yes,Yes,No,.454545454545455,6,4,1,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,5,26,6, , 
283,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No, ,No,.272727272727273,1,1,0,1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No,No, ,No, ,3,1, , 
284,A,Ouest,7,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,Yes,No,.545454545454545,2,2,0,1,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No, ,No, ,Yes,No, ,No, ,6,0, , 
285,A,Ouest,5,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO,No,No,Yes,No,Yes,Yes,No,Yes, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes, ,18,23,5,6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,26,55,18,200,200
286,A,Ouest,6,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes, ,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No,.454545454545455,8,2,1,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No, ,Yes,No,Yes,No, ,No, ,11,5, , 
287,A,Ouest,Health hut,Private for profit,Rural,No,1032263,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No, ,Yes,No,.272727272727273,9,11,0,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,No, ,Yes,10,30,0,17,17
288,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.636363636363636,24,14,3,5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,22,48,0,110,110
289,A,Ouest,6,4,Rural,No,996044,Health Center/post,Private/NGO, ,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,Yes,Yes,Yes, ,2,4,0,2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,Yes,Yes,No,5,9,1, , 
291,A,Ouest,5,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,No,Yes, ,Yes,No,.727272727272727,6,9,0,2,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,No,No, ,Yes,5,18,2,20,20
294,A,Ouest,5,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.272727272727273,4,6,2,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,Yes,24,14,2,9998,9998
295,A,Ouest,6,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO, ,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,Yes,Yes, ,5,5,1,1,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,10,13,5,15,15
296,A,Ouest,5,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO, ,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,Yes,Yes,No, ,1,1,0,1,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,No,3,3,0, , 
297,A,Ouest,5,Government/public,Urban,No,996044,Health Center/post,Public,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, ,No,Yes,.636363636363636,11,26,2,6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,No, ,Yes,2,50,0,36,36
299,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,No, ,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,Yes,No,Yes,Yes,.545454545454545,7,9,1,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No, ,No,No, ,No, ,31,7, , 
301,A,Ouest,5,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No, ,Yes, ,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,Yes,Yes,Yes,Yes, ,1,1,0,0,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No, ,No, ,No,No, ,No,7,2,0, , 
302,A,Ouest,6,4,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,Yes,Yes,No,No,Yes, ,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,No,Yes,No, ,1,3,0,1,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,No,Yes,Yes,No, ,7,0, , 
304,A,Ouest,5,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,Yes, , , ,2,3,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,No, , ,No,1,9,1, , 
305,A,Ouest,6,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes, ,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,Yes,No,No,No,Yes,Yes,No, ,2,8,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,3,22,4, , 
306,A,Ouest,5,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO,Yes,No,No,Yes,Yes,No,No,No,No, ,No,No,No,No,No,Yes,No,No,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,Yes, ,3,4,2,4,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No, ,No, , ,No, ,13,1, , 
308,A,Ouest,6,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes, ,No,No, ,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No, ,4,4,0,1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No, , ,No,3,14,3, , 
309,A,Ouest,Health hut,Government/public,Urban,No,996044,Hospital,Public,Yes,Yes,Yes,No,Yes,Yes, ,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No, ,No,No,.454545454545455,3,13,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No, ,No,No, ,Yes,105,16,0,20,20
310,A,Ouest,Health post,Government/public,Rural,No,996044,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes, , ,No,.636363636363636,31,51,2,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,36,100,2,0,0
312,A,Ouest,6,4,Rural,No,996044,Health Center/post,Private/NGO, ,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,Yes,No,No, ,4,4,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No, ,No,12,12,2, , 
318,A,Ouest,Health post,Government/public,Urban,Yes,996044,Hospital,Public,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,No,Yes,.454545454545455,18,74,6,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,44,136,18,9998,9998
319,A,Ouest,5,Government/public,Urban,No,996044,Health Center/post,Public,Yes,No,Yes,Yes,Yes,Yes,No,Yes, ,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes, ,Yes,No,No,No,No,No,Yes,No,No, ,15,6,2,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,No,10,47,15, , 
320,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,Yes,No,Yes, ,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,Yes, ,2,2,0,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,Yes,Yes,Yes,No, ,4,1, , 
321,A,Ouest,5,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,No,Yes,No,Yes,Yes,No, ,No,No, ,Yes,No,No,Yes,No,No,No,No,Yes,No, , , , ,No,No,No,No,No,No, ,1,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No, , ,No, ,4,0, , 
322,A,Ouest,7,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,No,No,No,No,Yes,Yes, ,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.272727272727273,0,1,0,0,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No, ,No, ,No,No, ,No, ,2,0, , 
324,A,Ouest,6,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,Yes,Yes,Yes,.454545454545455,6,6,3,5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No, ,No,6,22,0, , 
325,A,Ouest,6,Government/public,Rural,No,996044,Health Center/post,Public,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.181818181818182,1,2,0,0,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No, ,No, ,7,1, , 
326,A,Ouest,Health hut,Private for profit,Rural,No,1032263,Hospital,Private/NGO,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,.727272727272727,10,9,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,24,30,0,9998,9998
327,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,.818181818181818,3,12,0,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,Yes,No,No,Yes,Yes,No, ,19,2, , 
328,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes, ,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,Yes,Yes,No,No,No,Yes,.636363636363636,1,1,0,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,No, ,No, ,2,3, , 
329,A,Ouest,6,Government/public,Rural,No,996044,Health Center/post,Public,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,No,No,.181818181818182,5,1,1,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,No, ,7,0, , 
330,A,Ouest,7,Government/public,Rural,No,996044,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes, ,No,No, ,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No, ,No, ,2,1,0,0,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No, ,No, ,No, , ,No, ,4,2, , 
331,A,Ouest,5,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes, ,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,Yes,Yes,Yes, ,Yes,Yes,.818181818181818,4,6,0,0,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No, ,No,No, ,Yes,10,26,0,10,10
332,A,Ouest,6,Government/public,Rural,No,996044,Health Center/post,Public,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes, ,Yes,No,No,No,No,No,Yes,No,No,.363636363636364,2,3,2,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,No,2,43,2, , 
333,A,Ouest,7,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO,Yes,No,No,No,Yes,Yes, ,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes, ,.636363636363636,0,2,0,0,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,No, ,No,3,2,0, , 
335,A,Ouest,7,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,Yes,No,No,Yes,No,No,.818181818181818,1,2,0,0,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,No, ,No,1,3,1, , 
336,A,Ouest,5,Government/public,Rural,No,996044,Health Center/post,Public,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No,.272727272727273,1,6,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,Yes,No, ,No,3,16,0, , 
339,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes, ,Yes,No,.818181818181818,10,7,3,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No, ,Yes,No, ,Yes,15,29,0,10,10
342,A,Ouest,7,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,Yes,Yes,Yes,.181818181818182,1,1,0,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,No,No, ,No,3,3,1, , 
345,A,Ouest,Health post,Government/public,Urban,No,996044,Hospital,Public,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes,No,.454545454545455,9,18,3,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,20,45,9,9998,9998
346,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, ,Yes,Yes,Yes,No,No,No,Yes,Yes,No,.545454545454545,2,14,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No, ,No,3,64,1, , 
348,A,Ouest,7,Government/public,Rural,No,996044,Health Center/post,Public,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,Yes,No,No,No,.181818181818182,2,2,0,2,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No, ,Yes,No,No,No, ,No, ,6,0, , 
349,A,Ouest,7,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,No,Yes,Yes,No,No, , , ,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes, , ,No,No,No,No,No,No, ,No, ,0,3,0,0,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No, , ,No, ,11,0, , 
350,A,Ouest,6,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes,No,.363636363636364,0,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,1,18,0, , 
352,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,Yes,Yes,No,.636363636363636,3,5,0,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,15,9,3, , 
353,A,Ouest,7,Government/public,Urban,No,996044,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,No,No,No,Yes,No,Yes,No,.909090909090909,2,10,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,Yes,Yes,Yes,No, ,25,0, , 
354,A,Ouest,6,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO, ,No,Yes,No,Yes,No,No, , , ,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,No,Yes,Yes,No, ,1,2,0,1,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No, , ,No,5,4,1, , 
355,A,Ouest,6,Government/public,Urban,No,996044,Health Center/post,Public, ,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,Yes,No, ,No, ,1,14,0,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,No, ,22,2, , 
356,A,Ouest,6,NGO/ Private not for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,No,.363636363636364,1,4,0,1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,Yes,No,Yes,No, ,No, ,29,1, , 
357,A,Ouest,6,Private for profit,Rural,No,1032263,Health Center/post,Private/NGO,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,Yes,No,Yes,Yes, ,Yes,No,.454545454545455,1,7,2,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,40,13,0,15,15
358,A,Ouest,6,Government/public,Rural,No,996044,Health Center/post,Public,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,No,No,.818181818181818,2,8,0,1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,Yes,Yes,No, ,23,0, , 
359,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,Yes,Yes,Yes,No, , , ,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,No,No, ,1,5,0,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No, , ,No, ,20,0, , 
