FACIL,REC$TYPE,REGION,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,normdelivery,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
60057,A,Fatick,Health centre,Government/public,Urban,No,569065,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.909090909090909,3,10,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,Yes,18,27,0,12,12
60058,A,Fatick,Health centre,Government/public,Urban,No,569065,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.727272727272727,2,11,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,Yes,9,44,0,2,2
60059,A,Kaffrine,Health centre,NGO/ Private not for profit,Urban,No,162590,Health Center/post,Private/NGO,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,No,Yes,.454545454545455,0,1,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,No,2,1,0, , 
60060,A,Kaffrine,Health centre,Government/public,Urban,No,650360,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.636363636363636,2,5,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,21,28,0,47,47
60061,A,Kaokack,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,.636363636363636,3,18,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,Yes,Yes,Yes,11,86,1,0,0
60062,A,Kaokack,Health centre,Private for profit,Urban,No,325180,Health Center/post,Private/NGO,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,Yes,Yes,No,Yes, ,Yes,Yes,.545454545454545,4,4,0,1,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No,No, ,Yes,23,17,0,87,87
60063,A,Kaokack,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes, ,Yes,Yes,.636363636363636,6,17,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25,81,0,0,0
60064,A,Kedougou,Health centre,NGO/ Private not for profit,Urban,No,162590,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,Yes,No,No, ,Yes,Yes,.545454545454545,1,2,0,0,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,Yes,20,17,0,176,176
60065,A,Kedougou,Health centre,Government/public,Urban,No,487770,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,.545454545454545,1,10,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,36,0,16,16
60066,A,Kolda,Health centre,Government/public,Urban,No,650360,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.545454545454545,2,19,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,Yes,Yes,Yes,Yes,24,44,3,0,0
60067,A,Kolda,Health centre,NGO/ Private not for profit,Urban,No,325180,Health Center/post,Private/NGO,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes, ,Yes,Yes,.454545454545455,2,7,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No,No, ,Yes,24,17,0,0,0
60068,A,Kolda,Health centre,NGO/ Private not for profit,Urban,No,325180,Health Center/post,Private/NGO,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,No,Yes,.545454545454545,0,2,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,Yes,No,No,No, ,No,4,2,0, , 
60069,A,Kolda,Health centre,NGO/ Private not for profit,Urban,No,325180,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,Yes,No,No, ,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,No,Yes, ,0,1,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No, , ,No,1,1,0, , 
60070,A,Louga,Health centre,Government/public,Urban,Yes,390216,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes, ,Yes,Yes,.363636363636364,3,1,0,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,7,52,0,9998,9998
60071,A,Louga,Health centre,Government/public,Urban,No,390216,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,Yes, ,Yes,Yes,.454545454545455,3,6,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,15,81,0,91,91
60072,A,Louga,Health centre,Government/public,Rural,No,390216,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No, ,Yes,Yes,.545454545454545,2,8,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,21,53,0,9998,9998
60073,A,Louga,Health centre,Government/public,Urban,No,390216,Health Center/post,Public,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes, ,Yes,Yes,.454545454545455,2,6,0,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,5,15,0,9998,9998
60074,A,Louga,Health centre,NGO/ Private not for profit,Urban,No,162590,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes,No,.545454545454545,1,2,0,0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,No,3,5,0, , 
60075,A,Louga,Health centre,NGO/ Private not for profit,Urban,No,162590,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,No,Yes,.454545454545455,0,3,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,Yes,No, ,No,11,8,0, , 
60076,A,Louga,Health centre,Government/public,Urban,No,390216,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes, ,Yes,Yes,.545454545454545,2,4,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No, ,Yes,990,63,1,9998,9998
60077,A,Matam,Health centre,Government/public,Urban,No,406475,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,Yes,Yes,.545454545454545,1,9,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,998,91,0,9998,9998
60078,A,Matam,Health centre,Government/public,Urban,No,406475,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, ,Yes,Yes,.636363636363636,2,3,0,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,17,58,0,9998,9998
60079,A,Saint Louis,Health centre,Government/public,Urban,Yes,487770,Health Center/post,Public,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,Yes,Yes,.363636363636364,3,6,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,10,34,0,9998,9998
60080,A,Saint Louis,Health centre,Government/public,Urban,No,487770,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes, ,Yes,Yes,.545454545454545,2,6,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,6,50,0,9998,9998
60081,A,Sediou,Health centre,Private for profit,Urban,No,325180,Health Center/post,Private/NGO,Yes,Yes,Yes,Yes,Yes,Yes, ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,Yes,.727272727272727,0,1,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,No, ,No,9,3,0, , 
60082,A,Sediou,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.818181818181818,2,8,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,Yes,10,23,0,91,91
60083,A,Tambacounda,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,.272727272727273,3,5,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,No,12,28,0, , 
60084,A,Tambacounda,Health centre,Government/public,Urban,No,1138129,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes, ,.454545454545455,0,1,0,0,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,Yes,No, ,No,6,3,0, , 
60085,A,Tambacounda,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes, ,Yes,Yes,.545454545454545,3,4,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,42,15,0,9998,9998
60086,A,Tambacounda,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,Yes,Yes,.545454545454545,2,10,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,20,78,0,9998,9998
60087,A,Tambacounda,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No, ,Yes,Yes,.454545454545455,2,11,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,998,38,0,9998,9998
60088,A,Tambacounda,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,Yes,Yes,.454545454545455,3,15,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,998,33,0,9998,9998
60089,A,Thies,Health centre,Government/public,Urban,No,357698,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,.454545454545455,4,8,0,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,23,173,0,9998,9998
60090,A,Thies,Health centre,Government/public,Urban,No,357698,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,.818181818181818,6,0,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,998,23,1,9998,9998
60091,A,Thies,Health centre,Government/public,Urban,No,357698,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.909090909090909,3,8,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,17,48,2,9998,9998
60092,A,Thies,Health centre,Government/public,Urban,No,357698,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, ,Yes,Yes,No,No,Yes,No, ,Yes,Yes,.636363636363636,5,17,0,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25,85,0,9998,9998
60093,A,Thies,Health centre,Government/public,Urban,No,243885,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, ,Yes,No,Yes,No,No,Yes,Yes,Yes,.545454545454545,1,16,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,Yes,Yes,No,7,31,0, , 
60094,A,Thies,Health centre,Government/public,Urban,No,243885,Health Center/post,Public,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,Yes,No,No,Yes,No,Yes,.454545454545455,0,1,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,Yes,No, ,No,5,8,0, , 
60095,A,Thies,Health centre,Government/public,Urban,No,357698,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes, ,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,.727272727272727,3,9,0,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,21,55,0,20,20
60096,A,Ziguinchor,Health centre,Government/public,Urban,No,487770,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,.818181818181818,2,10,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,Yes,10,30,0,19,19
60097,A,Ziguinchor,Health centre,Private for profit,Urban,No,325180,Health Center/post,Private/NGO,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes,Yes,.636363636363636,0,1,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,No,9,1,0, , 
60098,A,Ziguinchor,Health centre,Government/public,Urban,No,487770,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,.727272727272727,4,18,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,Yes,17,50,3,13,13
60099,A,Ziguinchor,Health centre,Private for profit,Urban,No,325180,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes, ,Yes,Yes,.727272727272727,9,9,0,2,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,Yes,25,38,0,50,50
60100,A,Ziguinchor,Health centre,Private for profit,Urban,No,325180,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , ,Yes,No,Yes,No,No,Yes,Yes,Yes,.636363636363636,0,2,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,No,10,5,0, , 
60101,A,Dakar,Health post,Government/public,Urban,No,1219424,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,No,Yes,No,.636363636363636,0,4,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,Yes,Yes,Yes,No, ,11,0, , 
60102,A,Dakar,Health post,Government/public,Urban,No,1219424,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes,Yes,.545454545454545,0,3,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,Yes,No, ,No,9,10,0, , 
60103,A,Dakar,Health post,Private for profit,Urban,No,14741487,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,.727272727272727,1,4,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No, ,No, ,No,No, ,No,10,11,1, , 
60104,A,Dakar,Health post,NGO/ Private not for profit,Urban,No,0,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60105,A,Dakar,Health post,NGO/ Private not for profit,Urban,No,0,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60106,A,Dakar,Health post,Private for profit,Urban,No,14741487,Health Center/post,Private/NGO,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No, ,Yes,No,No,No,No,No,No,Yes,.363636363636364,1,0,0,0,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,No, ,2,0, , 
60107,A,Dakar,Health post,Government/public,Urban,No,1219424,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes,No,.454545454545455,0,2,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,Yes,No, ,No,1,25,0, , 
60108,A,Dakar,Health post,Private for profit,Urban,No,0,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60109,A,Dakar,Health post,Private for profit,Urban,No,14741487,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , ,Yes,No,Yes,Yes,Yes,No,Yes,Yes,.545454545454545,0,0,0,0,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,No, ,0,2, , 
60110,A,Dakar,Health post,Government/public,Urban,No,0,Health Center/post,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60111,A,Dakar,Health post,Government/public,Urban,No,1219424,Health Center/post,Public,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes, , ,Yes,Yes,No,No,No,Yes,No,Yes,.727272727272727,0,2,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,Yes,Yes,Yes,No,1,28,0, , 
60112,A,Dakar,Health post,NGO/ Private not for profit,Urban,No,0,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60113,A,Dakar,Health post,Private for profit,Urban,No,0,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
